"","Team","Opponent","Loss","Win","WinProb","Matches"
"386","Arizona St","Col Charleston",0,1,1,1
"387","Arizona St","Colgate",0,1,1,1
"388","Arizona St","Colorado",2,4,0.666666666666667,6
"389","Arizona St","Coppin St",0,1,1,1
"390","Arizona St","Cornell",0,1,1,1
"391","Arizona St","Creighton",2,0,0,2
"392","Arizona St","CS Northridge",0,1,1,1
"393","Arizona St","CS Sacramento",0,1,1,1
"394","Arizona St","Dartmouth",0,1,1,1
"395","Arizona St","DePaul",1,1,0.5,2
"396","Arizona St","Detroit",0,1,1,1
"397","Arizona St","Florida A&M",0,1,1,1
"398","Arizona St","Grambling",0,1,1,1
"399","Arizona St","Hartford",0,1,1,1
"400","Arizona St","Harvard",0,1,1,1
"401","Arizona St","Idaho St",0,1,1,1
"402","Arizona St","Lehigh",1,0,0,1
"403","Arizona St","Loy Marymount",0,1,1,1
"404","Arizona St","Marquette",1,1,0.5,2
"405","Arizona St","Maryland",1,0,0,1
"406","Arizona St","Miami FL",1,0,0,1
"407","Arizona St","Miami OH",0,1,1,1
"408","Arizona St","Oregon",4,1,0.2,5
"409","Arizona St","Oregon St",2,3,0.6,5
"410","Arizona St","Pepperdine",0,1,1,1
"411","Arizona St","Stanford",4,2,0.333333333333333,6
"412","Arizona St","Texas A&M",1,0,0,1
"413","Arizona St","Texas Tech",0,2,1,2
"414","Arizona St","UC Irvine",0,1,1,1
"415","Arizona St","UCLA",2,2,0.5,4
"416","Arizona St","UNLV",0,2,1,2
"417","Arizona St","USC",2,3,0.6,5
"418","Arizona St","Utah",4,2,0.333333333333333,6
"419","Arizona St","Washington",3,1,0.25,4
"420","Arizona St","Washington St",1,3,0.75,4
"421","Arizona St","UMBC",0,1,1,1
"422","Arkansas","Alabama",2,2,0.5,4
"423","Arkansas","Alabama A&M",0,1,1,1
"424","Arkansas","Alabama St",0,1,1,1
"425","Arkansas","Alcorn St",0,1,1,1
"426","Arkansas","Arizona St",1,0,0,1
"427","Arkansas","Auburn",0,4,1,4
"428","Arkansas","California",1,0,0,1
"429","Arkansas","Clemson",1,1,0.5,2
"430","Arkansas","Dayton",0,1,1,1
"431","Arkansas","Delaware St",0,2,1,2
"432","Arkansas","Edwardsville",0,1,1,1
"433","Arkansas","Florida",3,1,0.25,4
"434","Arkansas","Florida A&M",0,1,1,1
"435","Arkansas","Georgia",1,4,0.8,5
"436","Arkansas","Gonzaga",1,0,0,1
"437","Arkansas","High Point",0,1,1,1
"438","Arkansas","Iona",0,1,1,1
"439","Arkansas","Iowa St",1,0,0,1
"440","Arkansas","Kentucky",2,3,0.6,5
"441","Arkansas","Longwood",0,1,1,1
"442","Arkansas","LSU",3,1,0.25,4
"443","Arkansas","Michigan",1,0,0,1
"444","Arkansas","Minnesota",0,1,1,1
"445","Arkansas","Mississippi",2,2,0.5,4
"446","Arkansas","Mississippi St",0,4,1,4
"447","Arkansas","Missouri",3,3,0.5,6
"448","Arkansas","North Texas",0,1,1,1
"449","Arkansas","Northwestern LA",0,2,1,2
"450","Arkansas","Oklahoma",0,1,1,1
"451","Arkansas","Robert Morris",0,1,1,1
"452","Arkansas","Sam Houston St",0,1,1,1
"453","Arkansas","Savannah St",0,1,1,1
"454","Arkansas","SE Louisiana",0,1,1,1
"455","Arkansas","SE Missouri St",0,1,1,1
"456","Arkansas","SMU",0,2,1,2
"457","Arkansas","South Alabama",0,1,1,1
"458","Arkansas","South Carolina",2,3,0.6,5
"459","Arkansas","Syracuse",1,0,0,1
"460","Arkansas","Tennessee",2,3,0.6,5
"461","Arkansas","Texas A&M",2,2,0.5,4
"462","Arkansas","TN Martin",0,1,1,1
"463","Arkansas","ULL",0,1,1,1
"464","Arkansas","Utah Valley",0,1,1,1
"465","Arkansas","UT San Antonio",0,1,1,1
"466","Arkansas","Vanderbilt",1,3,0.75,4
"467","Arkansas","Wake Forest",0,1,1,1
"468","Arkansas","WI Milwaukee",0,1,1,1
"469","Arkansas","Wisconsin",1,0,0,1
"470","Arkansas St","Appalachian St",1,1,0.5,2
"471","Arkansas St","Ark Little Rock",4,3,0.428571428571429,7
"472","Arkansas St","Austin Peay",0,1,1,1
"473","Arkansas St","Cent Arkansas",0,3,1,3
"474","Arkansas St","Colorado",1,0,0,1
"475","Arkansas St","Dayton",1,0,0,1
"476","Arkansas St","FL Atlantic",1,1,0.5,2
"477","Arkansas St","Florida Intl",2,0,0,2
"478","Arkansas St","Ga Southern",2,0,0,2
"479","Arkansas St","Georgia St",5,0,0,5
"480","Arkansas St","Jackson St",0,1,1,1
"481","Arkansas St","Kent",1,0,0,1
"482","Arkansas St","Lamar",1,2,0.666666666666667,3
"483","Arkansas St","Marshall",0,2,1,2
"484","Arkansas St","Middle Tenn St",1,1,0.5,2
"485","Arkansas St","Mississippi St",0,1,1,1
"486","Arkansas St","Murray St",1,0,0,1
"487","Arkansas St","Nebraska",1,0,0,1
"488","Arkansas St","Niagara",0,2,1,2
"489","Arkansas St","North Texas",1,1,0.5,2
"490","Arkansas St","Purdue",1,0,0,1
"491","Arkansas St","South Alabama",1,5,0.833333333333333,6
"492","Arkansas St","St Bonaventure",0,1,1,1
"493","Arkansas St","Texas St",1,3,0.75,4
"494","Arkansas St","TN Martin",1,2,0.666666666666667,3
"495","Arkansas St","Toledo",2,0,0,2
"496","Arkansas St","Troy",3,3,0.5,6
"497","Arkansas St","ULL",5,1,0.166666666666667,6
"498","Arkansas St","ULM",2,4,0.666666666666667,6
"499","Arkansas St","UT Arlington",1,3,0.75,4
"500","Arkansas St","W Kentucky",1,3,0.75,4
"501","Arkansas St","Wyoming",1,0,0,1
"502","Arkansas St","Belhaven MS",0,1,1,1
"503","Arkansas St","Lyon",0,1,1,1
"504","Arkansas St","S Arkansas",0,1,1,1
"505","Ark Little Rock","Appalachian St",0,2,1,2
"506","Ark Little Rock","Arkansas St",3,4,0.571428571428571,7
"507","Ark Little Rock","Bradley",0,1,1,1
"508","Ark Little Rock","BYU",1,0,0,1
"509","Ark Little Rock","Cent Arkansas",0,1,1,1
"510","Ark Little Rock","Cincinnati",1,0,0,1
"511","Ark Little Rock","CS Northridge",0,1,1,1
"512","Ark Little Rock","FL Atlantic",1,1,0.5,2
"513","Ark Little Rock","Florida",1,0,0,1
"514","Ark Little Rock","Florida Intl",1,1,0.5,2
"515","Ark Little Rock","Ga Southern",2,0,0,2
"516","Ark Little Rock","Georgia St",3,1,0.25,4
"517","Ark Little Rock","Grambling",0,1,1,1
"518","Ark Little Rock","Jacksonville",0,1,1,1
"519","Ark Little Rock","Jacksonville St",0,1,1,1
"520","Ark Little Rock","Kent",1,0,0,1
"521","Ark Little Rock","Louisiana Tech",2,0,0,2
"522","Ark Little Rock","Memphis",1,0,0,1
"523","Ark Little Rock","Middle Tenn St",3,0,0,3
"524","Ark Little Rock","Mississippi",1,0,0,1
"525","Ark Little Rock","Missouri KC",0,1,1,1
"526","Ark Little Rock","Missouri St",1,0,0,1
"527","Ark Little Rock","North Florida",1,0,0,1
"528","Ark Little Rock","North Texas",0,2,1,2
"529","Ark Little Rock","Oklahoma",1,0,0,1
"530","Ark Little Rock","SMU",0,1,1,1
"531","Ark Little Rock","South Alabama",5,2,0.285714285714286,7
"532","Ark Little Rock","South Carolina",1,0,0,1
"533","Ark Little Rock","Southern Miss",1,0,0,1
"534","Ark Little Rock","Southern Univ",0,1,1,1
"535","Ark Little Rock","Texas St",1,3,0.75,4
"536","Ark Little Rock","TN Martin",0,1,1,1
"537","Ark Little Rock","Troy",2,5,0.714285714285714,7
"538","Ark Little Rock","Tulsa",2,1,0.333333333333333,3
"539","Ark Little Rock","ULL",4,2,0.333333333333333,6
"540","Ark Little Rock","ULM",4,2,0.333333333333333,6
"541","Ark Little Rock","UT Arlington",3,1,0.25,4
"542","Ark Little Rock","WI Green Bay",1,0,0,1
"543","Ark Little Rock","WI Milwaukee",0,1,1,1
"544","Ark Little Rock","W Kentucky",1,3,0.75,4
"545","Ark Little Rock","Arkansas-FS",0,1,1,1
"546","Ark Little Rock","S Arkansas",0,1,1,1
"547","Ark Little Rock","Ark Monticello",0,1,1,1
"548","Ark Pine Bluff","Air Force",3,0,0,3
"549","Ark Pine Bluff","Akron",2,0,0,2
"550","Ark Pine Bluff","Alabama A&M",2,5,0.714285714285714,7
"551","Ark Pine Bluff","Alabama St",3,3,0.5,6
"552","Ark Pine Bluff","Alcorn St",2,4,0.666666666666667,6
"553","Ark Pine Bluff","Arizona St",1,0,0,1
"554","Ark Pine Bluff","Auburn",1,0,0,1
"555","Ark Pine Bluff","C Michigan",2,0,0,2
"556","Ark Pine Bluff","Creighton",1,0,0,1
"557","Ark Pine Bluff","CS Bakersfield",0,1,1,1
"558","Ark Pine Bluff","Grambling",0,6,1,6
"559","Ark Pine Bluff","Hampton",1,0,0,1
"560","Ark Pine Bluff","Hawaii",2,0,0,2
"561","Ark Pine Bluff","High Point",1,0,0,1
"562","Ark Pine Bluff","Houston",0,1,1,1
"563","Ark Pine Bluff","Houston Bap",1,0,0,1
"564","Ark Pine Bluff","Iowa",1,0,0,1
"565","Ark Pine Bluff","Jackson St",2,4,0.666666666666667,6
"566","Ark Pine Bluff","MD E Shore",0,1,1,1
"567","Ark Pine Bluff","Michigan St",2,0,0,2
"568","Ark Pine Bluff","MS Valley St",1,5,0.833333333333333,6
"569","Ark Pine Bluff","Ohio",1,0,0,1
"570","Ark Pine Bluff","Oklahoma St",1,0,0,1
